Tanggal,Kategori,Is_Expense,Total Pemasukan,Total Pengeluaran,Keuntungan
1/1/2021,Jasa Pemasangan,0,50000000,0,50000000
1/2/2021,Jasa Pemasangan,0,20531000,0,70531000
1/2/2021,Pengiriman,1,0,12340000,58191000
1/2/2021,Pengiriman,1,0,9927000,48264000
1/3/2021,Jasa Pemasangan,0,19861000,0,68125000
1/4/2021,Pembelian Barang,1,0,10067000,58058000
1/5/2021,Pembelian Barang,1,0,16696000,41362000
1/5/2021,Pembelian Barang,1,0,18185000,23177000
1/6/2021,Pengandaan Barang,0,21470000,0,44647000
1/6/2021,Pengandaan Barang,0,21874000,0,66521000
1/7/2021,Pengiriman,1,0,10782000,55739000
1/7/2021,Pembelian Barang,1,0,5592000,50147000
1/7/2021,Jasa Pemasangan,0,23353000,0,73500000
1/8/2021,Pengiriman,1,0,9862000,63638000
1/8/2021,Pengiriman,1,0,6339000,57299000
1/8/2021,Jasa Pemasangan,0,24165000,0,81464000
1/9/2021,Pengiriman,1,0,15213000,66251000
1/9/2021,Pengandaan Barang,0,23889000,0,90140000
1/9/2021,Pembelian Barang,1,0,8392000,81748000
1/10/2021,Pembelian Barang,1,0,16895000,64853000
1/10/2021,Pengiriman,1,0,19170000,45683000
1/11/2021,Jasa Pemasangan,0,23050000,0,68733000
1/11/2021,Jasa Pemasangan,0,22487000,0,91220000
1/11/2021,Pengandaan Barang,0,24424000,0,115644000
1/12/2021,Pengandaan Barang,0,23715000,0,139359000
1/13/2021,Jasa Pemasangan,0,23367000,0,162726000
1/13/2021,Jasa Pemasangan,0,24615000,0,187341000
1/14/2021,Pembelian Barang,1,0,12723000,174618000
1/14/2021,Jasa Pemasangan,0,25437000,0,200055000
1/15/2021,Pengiriman,1,0,9817000,190238000
1/16/2021,Pengiriman,1,0,13730000,176508000
1/16/2021,Jasa Pemasangan,0,27204000,0,203712000
1/17/2021,Jasa Pemasangan,0,29130000,0,232842000
1/18/2021,Jasa Pemasangan,0,30727000,0,263569000
1/18/2021,Jasa Pemasangan,0,31544000,0,295113000
